ID,SQ1_1,SQ1_2,SQ1_3,SQ2,SQ3,SQ4,SQ5,SQ6,A1,A2,A2_1,A2_2,A2_3,A2_4,A3,A4_1순위,A4_2순위,A5_1,A5_2,A5_2_일,A5_3_a1,A5_3_a2,A5_3_a3,A5_4,A5_5,A6,A6_1_a1,A6_1_a2,A6_1_a3,A6_1_a4,A6_1_a5,A6_1_a6,A6_1_a7,A7,A7_시간,A7_1_a1,A7_1_a2,A7_1_a3,A7_1_a4,A7_2_a1,A7_2_a2,A7_2_a3,A7_2_a4,A7_2_a5,A7_2_a6,A7_2_a7,A7_2_a8,A8,A9_1순위,A9_2순위,A9_3순위,A10_1순위,A10_2순위,A10_3순위,A11_a1,A11_a2,A11_a3,A11_a4,A11_a5,A11_a6,A11,A12_a1,A12_a2,A13_a1,A13_a2,A13_a3,A13_a4,A13_a5,A13_a6,A13_a7,A13_a8,A13_a9,A13_a10,A13_a11,A13_a12,A13_a13,A13_a14,A13_a15,A13_a16,A13_a17,A13_a18,A13_a19,A13_a20,A14_1순위,A14_2순위,A15_1순위,A15_2순위,B1_1,B1_2,B1_3,B1_3_1,B1_3_2,B1_3_2_명,B1_3_3,B1_3_3_명,B1_3_4,B1_3_4_명,B1_3_5,B1_3_5_명,B1_3_6,B1_3_6_명,B1_3_7,B1_3_7_명,B1_4,B1_5,B2,B3,B4,C1_a1,C1_a2,C2_a1,C2_a2,C2_a3,C2_a4,C2_a5,C2_a6,C2_a7,C2_a8,C2_a9,C2_a10,C2_a11,C2_기타,C3_a1,C3_a2,C3_a3,C3_a4,C3_a5,C3_a6,C4,C5_A1,C5_A2,C5_A3,C5_B1,C5_B2,C5_B3,C5_C1,C5_C2,C5_C3,C5_D1,C5_D2,C5_E1,C5_E2,C6,C6_1,D1_1_a1,D1_1_a2,D1_1_a3,D1_1_a4,D1_2_a1,D1_2_a2,D1_2_a3,D1_2_a4,D2,D3,D4_a1,D4_a2,D5_a1,D5_a2,D5_a3,D5_a4,D5_a5,D5_a6,D5_a7,D5_a8,D5_a9,D5_a10,D5_a11,D5,D6_1순위,D6_2순위,D7,D8,D8_일1,D8_시간1,D8_일2,D8_시간2,D8_1,D8_2,D8_2_일,D8_2_시간,D9,D9_일1,D9_시간1,D9_일2,D9_시간2,D9_1_a1,D9_1_a2,D9_1_a3,D9_1_a4,D9_1_a5,D9_1_a6,D9_1_a7,D9_1_a8,D9_2,D9_2_일,D9_2_시간,D10_1_1순위,D10_1_2순위,D10_2_1순위,D10_2_2순위,D11_1_1,D11_1_2,D11_1_3,D11_2_1,D11_2_2,D11_2_3,D11_3_1,D11_3_2,D11_3_3,D11_4_1,D11_4_2,D11_4_3,D12,D13,D14_1순위,D14_2순위,D15_a1,D15_a2,D15_a3,D15_a4,D15_a5,D15_a6,D15_a7,D15_a8,D15_a9,D16_a1,D16_a2,D16_a3,D16_a4,D16_a5,D16_a6,D16_a7,D16_a8,E1_a1,E1_a2,E1_a3,E1_a4,E1_a5,E1_a6,E1_a7,E1_a8,E1_a9,E1_a10,E1_a11,E1_a12,E1_a13,E1_a14,E1_a15,E1_a16,E1_a17,E1_a18,E1_a19,E1_a20,E2,E3,E3_1,E3_2_a1,E3_2_a2,E3_2_a3,E3_2_a4,E3_2_a5,E4,F1_a1,F1_a2,F2_a,F2_a1,F2_a1_1,F2_a1_2,F2_a2,F2_a3_1,F2_a3_2,F2_a3_3,F2_a4,F2_b,F2_b1,F2_b1_1,F2_b1_2,F2_b2,F2_b3_1,F2_b3_2,F2_b3_3,F2_b4,F3_a1,F3_a2,F3_a3,F3_a4,F3_a5,F3_a6,F3_a7,F3_a8,F4,F5,F6_a1,F6_a2,F6_a3,F6_a4,F6_a5,F6_a6,F6_a7,F6_a8,F6_a9,F6_a10,F6_a11,F6_a12,F6_a13,F6_a14,F6_b1,F6_b2,F6_b3,F6_b4,F6_b5,F6_b6,F6_b7,F6_b8,F6_b9,F6_b10,F6_b11,F6_b12,F6_b13,F6_b14,G1,G1_1_1,G1_1_2,G1_1_3,G1_1_4_1,G1_1_4_2,G1_1_4_3,G1_1_5,G1_1_6_a1,G1_1_6_a2,G1_1_6_a3,G1_1_6_a4,G1_1_6_a5,G1_1_6_b1,G1_1_6_b2,G1_1_6_b3,G1_1_6_b4,G1_1_6_b5,G2,G3_a1,G3_a2,G3_a3,G3_a4,G3_a5,G3_a6,G3_a7,G3_a8,G4_a1,G4_a2,G4_a3,G4_a4,G4_기타,G5,G5_1_a1,G5_1_a2,G5_1_a3,G5_1_a4,G5_1_a5,G5_1_a6,G5_1_a7,G5_2,G6,G6_1_a1,G6_1_a2,G6_1_a3,G6_1_a4,G6_1_a5,G6_2_a1,G6_2_a2,G6_2_a3,G6_2_a4,G6_2_a5,G7,G7_1,G7_1_평일,G7_1_주말,G7_2_시간,G7_2_급여,G7_3_1순위,G7_3_2순위,G7_3_3순위,G7_4_1순위,G7_4_2순위,G7_4_3순위,G7_5_1,G7_5_1_시간,G7_5_2,G7_5_3,G7_5_4,G7_5_5_1순위,G7_5_5_2순위,G8_1순위,G8_2순위,G8_3순위,G9,G9_개월,H1_1순위,H1_2순위,H1_3순위,H1_4순위,H2_1순위,H2_2순위,H3_1순위,H3_2순위,H4_1순위,H4_2순위,H5_1순위,H5_2순위,H6,H7_1순위,H7_2순위,H7_3순위
94713,14,1,1,1,71,1,3,3,34,2,2015,2, , ,4,1,2,9,1,3,1, , ,1,14,2, , , , , , , ,1,10,1,2,3, ,1,2,3,4,5,6,7, , ,1,2,5,10, , ,5,3,4,4,4,4,1,4,4,5,4,3,3,4,4,4,4,2,3,3,4,5,5,4,3,4,4,4,4,3,2, , ,3,1,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,1,1,4,4,4,4,2,2,2,2,1,2,2,2,2,2,2, ,1,1,1,1,1,1,2,2,1,15000,2,3,200000,1, , ,1, , , ,4, ,5,5,5,5,2,2,1,1,4,4,4,3,5,2,2,2,4,4,4,3,3,4,4,4,2,3,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,5,5,67,64,3,3,3,4,4,4,4,4,4,4,4,3,4,2,3,3,3,10, , , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,70,4,3,720000,400000,400000,0,320000,0,0,0,0,820000,500000,300000,200000,320000,0,0,0,0,2,2,2,2,2,2,2,2,3,700000,1,2,3,4,5,9, , , , , , , , ,30,10,30,10,10, , , ,10, , , , , ,2,6,3,5,40,50,99,1200000,1, , , , , , , , , ,1,4,4,4,4,4,4,4,4,1,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,2,99,3,200000,1,2,3,1,2,3, , , , , , , , , , ,2, ,1,2,3,4,1,2,2,1,1,2,1,2,9,11, , 
94831,14,1,3,2,69,3,3,3,34,2,2014,2, , ,2,1,2,3,1,3,1, , ,1,18,2, , , , , , , ,2, , , , , , , , , , , , , , ,6,5,2,10, , ,4,4,4,4,5,4,5,3,3,3,4,5,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,3,2, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2, ,2,1,2,2,2,1,3,2,1,0,2,99,10000,9, , ,9, , , ,4, ,3,3,4,4,2,4,2,4,4,3,3,3,2,3,3,2,4,4,4,2,3,3,2,4,3,2,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,1,2,4,2, , ,2, , ,5,5,79,67,3,3,4,2,2,3,3,3,3,3,4,3,3,2,3,3,3,2,10, , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,70,2,3,680000,300000,300000,0,380000,0,0,0,0,880000,500000,300000,200000,380000,0,0,0,0,2,2,2,2,2,2,2,2,3,866666.666666667,1,2,3,4,5, , , , , , , , , ,20,20,40,10,10, , , , , , , , , ,2,7,6,5,56,66,10,500000,16, , , , , , , , , ,2,5,4,3,3,5,5,5,5,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,3, , , , ,1,2, , ,5,250000,1,2, ,1,5,4, , , , , , , , , , ,4, ,1,3,2,4,1,2,4,2,2,4,1,2,9,11, , 
94957,14,2,2,2,69,2,1,3,35,2,2014,1,1,1,3,2,1,3,1,2,1, , ,9,23,2, , , , , , , ,1,3,1, , , ,1,2,5,7, , , , ,2,1,2,3,1,2,4,4,4,3,3,4,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2, ,2,1,1,1,1,1,1,1, , ,1, , ,1, , ,1, , , ,4, ,4,4,4,4,3,4,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,8,1,3,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,30,3,3,73,67,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,10, , , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,70,3,3,650000,300000,200000,0,200000,0,0,0,150000,850000,400000,200000,200000,200000,100000,0,0,150000,2,2,2,2,2,2,2,2,2,426000,1,2,3,4,5,6,7,8,9,10,13,14, , ,10,5,5,5,5,5,5,5,10,5, , ,20,20,2,1,7,1,15,60,45,400000, , , , , ,11, , , , ,1,4,1,1,1,1,4,1,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,2, , , , ,1,1,3,99,5,600000,1,2,4,1,2,4, , , , , , , , , , ,4, ,4,3,2,1,1,2,1,2,1,3,1,2,9,1,2,3
94981,14,2,2,2,75,3,1,3,35,2,2008,1,1,2,3,1,2,9,1,3,1, , ,1,38,3, , , , , , , ,1,4,1, , , ,1,2,5,6,7, , , , ,1,2,4,1,8,9,4,5,4,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,0,2,1,4,4,4,2,1,2,2,1,2,1,2,2,2,2, ,4,2,2,1,2,2,2,1, , ,2,5,30000,1, , ,1, , , ,4, ,4,4,4,4,3,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,8,1,2,3,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,13,25,2,2,2,3,4,4,2,4,4,4,4,4,4,4,4,4,4,2,10,19, , , , , , , , , , , , , , , , , ,3,1,2,1, , , , ,80,9,9,400000,300000,300000,0,100000,0,0,0,0,500000,400000,200000,200000,100000,0,0,0,0,9,2,2,2,9,2,2,2,2,1000000,1,2,3, , , , , , , , , , , ,30,60,10, , , , , , , , , , , ,2,1,7,5,20,70,50,1000000, , , , , ,11, , , , ,3,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,2, , , , ,1,1,3,99,2,350000,2,3,4,1,2,4, , , , , , , , , , ,4, ,2,1,3,4,2,1,4,1,2,1,2,1,5,8,1, 
94985,14,2,2,2,79,2,4,3,36,2,2011,1,3,2,2,1,2,3,1,3,1, , ,1,9,2, , , , , , , ,1,4,1, , , ,1,2,3,7, , , , , ,1,2,3,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2, , ,3,1,2,2,2,2,1, ,1, ,1, ,1, ,1, ,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,9,2,99,50000,2,99,30000,1, , ,1, , , ,4, ,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,2,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,20,3,3,73,67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,70,3,3,700000,300000,300000,0,200000,0,0,0,200000,900000,500000,300000,200000,200000,0,0,0,200000,2,2,2,2,2,2,2,2,3,100000,1,2,3,4,5,6,7,8,9,10,12,13,14, ,10,10,15,5,5,5,5,5,5,15, ,10,5,5,2,1,7,1,25,55,30,500000, , , , , ,11, , , , ,2,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,5, , , , ,1,1,3,99,3,500000,2,3,1,4,2,6, , , , , , , , , , ,4, ,2,3,4,1,5,2,4,1,4,2,2,3,9,1, , 
95013,14,2,2,2,76,2,5,3,34,2,2006,1,1,2,2,1,2,6,1,2,1, , ,1,41,2, , , , , , , ,1,4,1,2,3, ,1,2,3,7, , , , , ,1,2,3,3,2,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,6, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2, ,1,1,1,1,1,1,2,2,5,320000,2,5,80000,9, , ,1, , , ,4, ,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,20,3,3,73,67,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2, , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,60,3,3,500000,300000,300000,0,0,200000,0,0,0,700000,500000,300000,200000,0,200000,0,0,0,2,2,2,2,2,2,2,2,2,426000,1,2,3,4,5,6,7,8,9,10, , , , ,10,30,10,10,10,10,5,5,5,5, , , , ,1, , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,3, , , , ,1,1,3,99,5,500000,1,2,3,6,2,3, , , , , , , , , , ,4, ,1,2,4,3,1,2,3,4,1,2,1,2,9,1, , 
95016,14,2,2,2,72,1,1,8,88,1, , , , ,4,2,4,9,1,3,1, , ,1,5,3, , , , , , , ,1,9,1, , , ,3, , , , , , , , ,1,7, ,10, , ,5,4,3,4,4,4,1,4,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,5,4,5,4,4,4,1,2, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,1,4,4,2,2,2,1,1,2,2,2,2,2,2, ,4,2,2,2,3,4,5,2,6,540000,2,6,150000,1, , ,1, ,1, ,1,1,4,3,5,5,2,3,1,1,4,4,2,2,4,4,4,3,4,4,4,4,4,5,5,4,2,1,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,1,1,4,2, , ,2, , ,5,5,67,76,3,3,3,4,3,3,3,3,3,4,4,5,3,2,3,3,3,10,12,13, , , , , , , , , , , , , , , , , ,2,2, , , , , , ,70,3,3,700000,300000,300000,0,200000,100000,100000,0,0,800000,500000,300000,200000,200000,100000,0,0,0,2,2,2,2,2,2,2,2,2,426000,1,2,3,5,12, , , , , , , , , ,10,40,30, ,10, , , , , , ,10, , ,1, , , , , , , , , , , , , , , , , , ,4,4,4,2,3,4,4,4,1,2,2,9, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,3,0,3,200000,2,1,3,1,2,3, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , 
95415,14,2,2,2,74,3,1,3,32,2,2008,1,7,1,2,1,2,5,1,3,1, , ,1,36,2, , , , , , , ,1,3,1, , , ,5,7, , , , , , ,1,7,2,4,10, , ,5,5,5,5,5,5,1,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,3,4,4,4,2,1,2,1,1,2,2,2,2,2,2, ,2,1,2,2,1,1,1,2,2,60000,2,2,200000,1, , ,2,1, , ,4, ,4,4,4,4,2,4,2,2,4,3,1,2,3,3,3,4,4,4,4,3,3,4,4,8,1,4,3,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,10,4,4,64,67,2,2,3,3,3,4,2,3,4,4,4,4,4,3,4,3,3,2,12, , , , , , , , , , , , , , , , , , , ,1,2,5, , , , ,70,3,3,300000,200000,0,200000,0,100000,0,0,0,200000,200000,0,200000,0,0,0,0,0,2,2,2,2,2,2,2,2,1,133333.333333333,1,2, , , , , , , , , , , , ,80,20, , , , , , , , , , , , ,2,18,99,3,34,63,99,500000,15, , , , , , , , , ,1,4,5,2,1,2,5,5,5,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,3,0,2,200000,1,2,4,1,5,8, , , , , , , , , , ,3, ,1,2,4,3,1,2,4,1,1,4,3,2,5,11, , 
95698,14,1,3,2,71,3,5,7,77,2,2011,2, , ,2,7,2,30,1,7,1, , ,1,64,2, , , , , , , ,1,2,1, , , ,3,5,6,7, , , , , ,2,4,7,1,7,2,4,4,4,4,4,4,5,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,4,4,1,4, , ,2,3,4,1,2,3,9, ,9, ,9, ,9, ,9, ,1,2,2,3,1,3,3,2,1,2,2,1,2,2,2,2,2,2, ,2,2,1,1,1,1,1,2,4,10000,2,4,100000,1, , ,1, , , ,4, ,5,4,5,5,1,1,1,1,3,3,2,2,4,3,4,4,4,4,4,4,4,4,4,2,1,3,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,79,67,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,2,2, , , , , , ,70,2,2,700000,400000,400000,0,100000,200000,0,0,0,767634,467634,300000,167634,100000,200000,0,0,0,2,2,2,2,2,2,2,2,2,666666.666666667,1,2,3,4,5,9,12,14, , , , , , ,20,25,15,10,5, , , ,5, , ,10, ,10,2,8,6,1,40,50,20,1000000,1, , , , , , , , , ,1,4,4,3,3,3,4,4,3,1,2,2,2, ,2, , , , , , , , ,2, , , , , ,5, , , , ,1,2, , ,5,400000,1,2,8,2,1,5, , , , , , , , , , ,4, ,1,2,3,4,1,2,2,4,2,4,2,1,4,7, , 
95718,14,2,2,2,76,3,1,3,35,2,2012,1,1,2,3,1,2,9,1,3,1, , ,1,39,2, , , , , , , ,1,4,1, , , ,1,2,5,7, , , , , ,4,2,6,1,2,6,4,5,4,5,5,5,5,5,4,4,4,3,4,4,3,4,5,5,5,5,4,5,5,4,4,5,5,5,5,1,3, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,0,2,1,1,4,4,2,1,2,2,2,2,2,2,2,2,2, ,3,2,2,1,2,2,1,1, , ,2,5,20000,1, , ,1, , , ,4, ,4,4,4,4,4,4,4,4,4,4,2,2,4,3,4,3,4,3,4,3,4,3,3,8,3,2,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,25,13,2,2,2,4,4,4,3,4,5,3,4,3,3,3,3,3,4,2,10,19, , , , , , , , , , , , , , , , , ,4,1,3,1, , , , ,70,3,3,200000,200000,200000,0,0,0,0,0,0,550000,400000,200000,200000,150000,0,0,0,0,9,2,2,2,9,2,2,2,2,100000,1,2,3, , , , , , , , , , , ,40,50,10, , , , , , , , , , , ,2,1,7,5,20,60,40,1000000, , , , , ,11, , , , ,3,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,5, , , , ,1,1,3,99,2,300000,1,2,4,1,2,4, , , , , , , , , , ,4, ,1,2,3,4,1,2,1,4,1,2,1,2,5,1,8, 
95894,14,2,2,2,76,2,1,3,35,2,2009,1,1,1,1,1,2,3,1,2,1, , ,9,14,2, , , , , , , ,1,3,1, , , ,1,5,7, , , , , ,2,1,2,4,1,11, ,4,3,3,3,3,3,1,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2, ,2,1,2,2,1,1,1,2,5,30000,2,6,20000,1, , ,1, , , ,4, ,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,3,3,64,67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,1,2, , , , , , ,70,3,3,600000,300000,300000,0,200000,0,0,0,100000,650000,350000,150000,200000,200000,0,0,0,100000,2,2,2,2,2,2,2,2,2,426000,1,2,3,4,5,6,7,8,9,12,14, , , ,5,20,5,5,15,5,5,5,15, , ,5, ,15,1, , , , , , , , , , , , , , , , , , ,4,1,1,1,1,4,3,1,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,3,0,5,600000,1,2,4,1,2,4, , , , , , , , , , ,4, ,3,4,2,1,1,2,1,3,1,2,1,2,9,1,5,7
95895,14,1,3,2,73,3,3,3,34,2,2013,2, , ,2,1,2,3,1,3,1, , ,3,10,3, , , , , , , ,2, , , , , , , , , , , , , , ,2,7,6,10, , ,4,4,4,4,5,5,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3, , ,2,1,2,1,1, ,2,1,1, ,1, ,1, ,1, ,1,2,2,2,1,3,4,9,9,1,9,9,9,9,9,9,9,9, ,1,1,1,1,1,1,1,2,1,4500,2,1,5000,1, , ,1, , , ,4, ,4,3,4,4,2,4,2,3,5,4,3,3,3,3,3,2,3,3,3,2,3,3,2,8,2,1,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,5,5,62,64,2,2,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,2,10, , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,75,3,4,600000,400000,400000,0,200000,0,0,0,0,600000,400000,200000,200000,200000,0,0,0,0,9,2,2,2,2,2,2,2,3,1200000,1,2,3,5,6, , , , , , , , , ,20,20,40, ,10,10, , , , , , , , ,2,18,10,2,99,72,10,1000000,14, , , , , , , , , ,2,4,4,3,3,4,4,4,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,3, , , , ,1,2, , ,5,300000,1,2,8,1,5,2, , , , , , , , , , ,4, ,1,2,4,3,1,2,1,2,2,4,2,3,5,11, , 
95939,14,2,2,2,83,2,1,3,35,2,2010,1,1,1,1,1,2,3,1,2,1, , ,9,41,2, , , , , , , ,1,3,1, , , ,1,3,7, , , , , ,2,1,2,3,1,2,3,3,3,3,3,3,3,1,3,3,4,4,4,4,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,1, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,1,4,4,2,1,2,2,1,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1, , ,1, , ,1, , ,1, , , ,4, ,4,4,3,4,3,2,1,1,4,9,3,3,3,3,3,3,3,3,3,3,3,3,3,10,2,4,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,76,67,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,2,1,2,3, , , , ,75,3,4,600000,300000,300000,0,200000,0,0,0,100000,700000,400000,200000,200000,200000,0,0,0,100000,2,2,2,2,2,2,2,2,9,100000,1,2,3,4,5,6,7,8,9,10,12,13,14, ,10,15,5,5,5,5,5,5,5,5, ,15,10,10,2,1,7,1,20,60,40,500000, , , , , ,12, , , , ,2,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,5, , , , ,1,1,99,99,3,400000,2,3,1,4,2,6, , , , , , , , , , ,4, ,2,3,4,1,5,2,4,1,4,2,2,3,5,1,12, 
96022,14,1,2,2,72,2,2,3,36,2,2015,2, , ,3,7,2,9,1,3,1, , ,1,11,2, , , , , , , ,1,5,1,2, , ,2,4,6,7, , , , , ,3,6,7,10, , ,4,4,3,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5, ,4,2,5,4,5,5,5,5,5,3,2, , ,3,1,2,2,9, ,9, ,9, ,9, ,9, ,9, ,2,0,1,4,1,4,4,2,1,2,2,1,2,2,2,2,2,2, ,2,1,1,1,1,2,1,2,20,100000,2,20,240000,1, , ,2,1, , ,4, ,5,5,5,5,2,5,1,1,5,5,4,4,4,2,2,1,5,3,4,2,4,4,3,4,1,3,2,1,7,4, , ,7, , , ,2, , ,1,2,4, , , , , , , , , , ,5,6,3,6,2, , ,1,1,2,2, , ,2, , ,4,5,72,76,1,1,1,5,5,5,1,5,5,5,5,5,4,4,4,5,5,2,10,13, , , , , , , , , , , , , , , , , ,9,1,3,3, , , , ,65,3,4,560000,400000,400000,0,160000,0,0,0,0,680000,520000,300000,220000,160000,0,0,0,0,2,2,2,2,2,2,2,2,2,1000000,1,2,3,4,5,6,7,8,9,12,13,14, , ,10,20,20,5,5,5,5,5,5, , ,10,5,5,2,6,12,4,40,60,20,800000, , , , , ,11, , , , ,1,2,4,3,2,4,4,4,5,1,2,2,2, ,2, , , , , , , , ,2, , , , , ,9, , , , ,1,1,3,99,3,200000,8,4,2,5,4,10, , , , , , , , , , ,4, ,3,2,4,1,2,1,1,2,4,3,3,2,5,11, , 
96051,14,2,2,2,76,2,1,3,35,1, , , , ,2,3,2,10,1,3,1, , ,9,5,3, , , , , , , ,1,2,1, , , ,2,4,5,7, , , , , ,2,1,6,1,6, ,4,4,3,4,3,4,1,4,4,3,3,4,4,4,5,3,3,3,3,3,5,4,4,4,4,4,4,4,4,2,1, , ,4,1,3,2,1, ,2,1,1, ,1, ,1, ,1, ,1,2,2,3,1,4,4,2,1,2,1,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1, , ,1, , ,1, , ,1, , , ,4, ,5,4,5,5,3,2,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,10,2,4,2,1,1,4, , ,1, , , ,3, , , , , , , , , , , , ,2, , ,99, , , ,2, , ,2, , ,2, , ,1,1,20,4,4,73,67,2,1,2,4,4,4,3,4,4,4,4,4,4,4,4,5,4,10, , , , , , , , , , , , , , , , , , , ,2,1,2,9, , , , ,75,3,4,1000000,400000,400000,0,200000,300000,0,0,100000,900000,600000,400000,200000,200000,0,0,0,100000,2,2,2,2,2,2,2,2,9,112500,1,2,3,4,5,6,7,8,9,10,12,13,14, ,5,5,5,5,5,5,5,5,5,5, ,30,10,10,2,1,7,1,20,60,40,600000, , , , , ,11, , , , ,2,5,5,5,5,5,4,5,5,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,5, , , , ,1,2, , ,3,400000,2,3,1,4,2,5, , , , , , , , , , ,4, , , , , , , , , , , , , , , , , 
